0-48|2900051
0-0|2900052
0-2|2900053
0-3|2900054
0-4|2900055
0-1|2900056
0-5|2900057
0-29|2900058
0-6|2900059
0-37|2900060
0-7|2900061
0-8|2900062
0-43|2900063
0-31|2900064
0-38|2900065
0-46|2900066
0-9|2900067
0-30|2900068
0-49|2900069
0-10|2900070
0-11|2900071
0-12|2900072
0-40|2900073
0-13|2900074
0-32|2900075
0-14|2900076
0-15|2900077
0-16|2900078
0-17|2900079
0-18|2900080
0-19|2900081
0-20|2900082
0-47|2900083
0-21|2900084
0-22|2900085
0-42|2900086
0-33|2900087
0-44|2900088
0-34|2900089
0-23|2900090
0-24|2900091
0-50|2900092
0-51|2900093
0-25|2900094
0-39|2900095
0-26|2900096
0-27|2900097
0-52|2900098
0-35|2900099
0-28|2900100
0-36|2900101
0-41|2900102
0-45|2900103
43-0|2900105
43-1|2900106
43-2|2900107
43-3|2900108
43-4|2900109
43-5|2900110
43-6|2900111
43-7|2900112
43-8|2900113
43-9|2900114
43-10|2900115
43-11|2900116
43-12|2900117
43-13|2900118
43-14|2900119
43-15|2900120
43-16|2900121
43-17|2900122
43-18|2900123
43-19|2900124
43-20|2900125
43-21|2900126
43-22|2900127
43-23|2900128
62-0|2900130
62-1|2900131
62-2|2900132
62-3|2900133
62-4|2900134
62-5|2900135
61-0|2900137
61-1|2900138
61-2|2900139
61-3|2900140
61-4|2900141
61-5|2900142
60-0|2900144
60-1|2900145
60-2|2900146
60-3|2900147
60-4|2900148
60-5|2900149
59-0|2900151
59-1|2900152
59-2|2900153
59-3|2900154
59-4|2900155
59-5|2900156
59-6|2900157
59-7|2900158
58-0|2900160
58-1|2900161
58-2|2900162
58-3|2900163
57-0|2900165
57-1|2900166
57-2|2900167
57-3|2900168
57-4|2900169
57-5|2900170
56-0|2900172
56-1|2900173
56-2|2900174
56-3|2900175
56-4|2900176
56-5|2900177
55-0|2900179
55-1|2900180
55-2|2900181
55-3|2900182
55-4|2900183
55-5|2900184
54-0|2900186
54-1|2900187
54-2|2900188
54-3|2900189
54-4|2900190
54-5|2900191
53-0|2900193
53-1|2900194
53-2|2900195
53-3|2900196
53-4|2900197
53-5|2900198
52-0|2900200
52-1|2900201
52-2|2900202
52-3|2900203
52-4|2900204
51-0|2900206
51-1|2900207
51-2|2900208
51-3|2900209
51-4|2900210
51-5|2900211
50-0|2900213
50-1|2900214
50-2|2900215
50-3|2900216
50-4|2900217
49-0|2900219
49-1|2900220
49-2|2900221
48-0|2900223
48-1|2900224
48-2|2900225
48-3|2900226
48-4|2900227
48-5|2900228
48-6|2900229
48-7|2900230
48-8|2900231
48-9|2900232
48-10|2900233
48-11|2900234
48-12|2900235
48-13|2900236
48-14|2900237
47-0|2900239
47-1|2900240
47-2|2900241
47-3|2900242
46-0|2900244
46-1|2900245
46-2|2900246
46-3|2900247
46-4|2900248
46-5|2900249
45-0|2900251
45-1|2900252
45-2|2900253
45-3|2900254
45-4|2900255
45-5|2900256
44-0|2900258
44-1|2900259
44-2|2900260
42-0|2900262
42-1|2900263
42-2|2900264
42-3|2900265
42-4|2900266
42-5|2900267
41-0|2900269
41-1|2900270
41-2|2900271
41-3|2900272
41-4|2900273
41-5|2900274
40-0|2900276
40-1|2900277
40-2|2900278
40-3|2900279
40-4|2900280
40-5|2900281
39-0|2900283
39-1|2900284
39-2|2900285
39-3|2900286
39-4|2900287
39-5|2900288
39-6|2900289
39-7|2900290
39-8|2900291
38-0|2900293
38-1|2900294
38-2|2900295
37-0|2900297
37-1|2900298
37-2|2900299
37-3|2900300
37-4|2900301
37-5|2900302
36-0|2900304
36-1|2900305
36-2|2900306
36-3|2900307
36-4|2900308
36-5|2900309
35-0|2900311
35-1|2900312
35-2|2900313
35-3|2900314
35-4|2900315
35-5|2900316
34-0|2900318
34-1|2900319
34-2|2900320
34-3|2900321
34-4|2900322
34-5|2900323
33-0|2900325
33-1|2900326
33-2|2900327
33-3|2900328
33-4|2900329
33-5|2900330
33-6|2900331
33-7|2900332
33-8|2900333
33-9|2900334
33-10|2900335
33-11|2900336
33-12|2900337
32-0|2900339
32-1|2900340
32-2|2900341
32-3|2900342
32-4|2900343
32-5|2900344
31-0|2900346
31-1|2900347
31-2|2900348
31-3|2900349
31-4|2900350
31-5|2900351
30-0|2900353
30-1|2900354
30-2|2900355
30-3|2900356
30-4|2900357
30-5|2900358
29-0|2900360
29-1|2900361
29-2|2900362
29-3|2900363
